,vref,source,target,alignment_count,verse_score,alignment_score
0,0,le,would,1,0.5003176089516023,0.33805622134214447
1,0,importaría,you,1,0.5003176089516023,0.26423882957771005
2,0,importaría,mind,1,0.5003176089516023,0.1955034389820355
3,0,darnos,giving,1,0.5003176089516023,0.18630907785736733
4,0,darnos,us,1,0.5003176089516023,0.11762140024501268
5,0,las,keys,1,0.5003176089516023,0.08133806251073392
6,0,llaves,keys,1,0.5003176089516023,0.1270596056672913
7,0,de,the,1,0.5003176089516023,0.18278738214394635
8,0,de,to,1,0.5003176089516023,0.1360048772681972
9,0,la,the,1,0.5003176089516023,0.1496506872563748
10,0,habitación,room,1,0.5003176089516023,0.17205240561054957
11,0,por,please,1,0.5003176089516023,0.21440559067590023
12,0,favor,please,1,0.5003176089516023,0.3593797994229941
13,1,he,i,1,0.5970070678289074,0.22384136957222203
14,1,hecho,have,1,0.5970070678289074,0.18564144578415437
15,1,hecho,made,1,0.5970070678289074,0.14871819839920603
16,1,la,made,1,0.5970070678289074,0.1638274198256662
17,1,reserva,reservation,1,0.5970070678289074,0.127988936431309
18,1,de,for,1,0.5970070678289074,0.12378400203468298
19,1,una,a,1,0.5970070678289074,0.12163398755982902
20,1,habitación,room,1,0.5970070678289074,0.06936534154411514
21,1,tranquila,quiet,1,0.5970070678289074,0.12509030446017533
22,1,doble,double,1,0.5970070678289074,0.12235120263302375
23,1,con,with,1,0.5970070678289074,0.12430923598824366
24,1,teléfono,telephone,1,0.5970070678289074,0.09557170276006771
25,1,y,a,1,0.5970070678289074,0.11902048436017677
26,1,y,and,1,0.5970070678289074,0.09901398002277406
27,1,televisión,a,1,0.5970070678289074,0.10412119781273624
28,1,televisión,tv,1,0.5970070678289074,0.08672729413572013
29,1,a,for,1,0.5970070678289074,0.09445293168377052
30,1,nombre,for,1,0.5970070678289074,0.12101359236269997
31,1,de,for,1,0.5970070678289074,0.16688405348357224
32,1,rosario,rosario,1,0.5970070678289074,0.18946100601118565
33,1,cabedo,cabedo,1,0.5970070678289074,0.22925094388993064
34,2,le,would,1,0.35910524829368806,0.3977975853270221
35,2,importaría,you,1,0.35910524829368806,0.30401371207252215
36,2,importaría,mind,1,0.35910524829368806,0.21547005208792996
37,2,cambiarme,mind,1,0.35910524829368806,0.2581955239641905
38,2,a,me,1,0.35910524829368806,0.22710262579515625
39,2,a,to,1,0.35910524829368806,0.13959019644999868
40,2,otra,moving,1,0.35910524829368806,0.13229304254728402
41,2,habitación,a,1,0.35910524829368806,0.26971462428029885
42,2,habitación,room,1,0.35910524829368806,0.13043013467596168
43,2,más,quieter,1,0.35910524829368806,0.31347998637784075
44,2,tranquila,room,1,0.35910524829368806,0.41792214993740323
45,3,por,i,1,0.5224455484629417,0.6113696334557909
46,3,favor,have,1,0.5224455484629417,0.4203657473310975
47,3,tengo,i,1,0.5224455484629417,0.1278233340608599
48,3,tengo,have,1,0.5224455484629417,0.3295882768707368
49,3,reservada,booked,1,0.5224455484629417,0.38563991961247407
50,3,una,a,1,0.5224455484629417,0.46527444470902024
51,3,habitación,room,1,0.5224455484629417,0.6113696334557909
52,4,me,i,1,0.4728703724828449,0.4881889375044416
53,4,parece,think,1,0.4728703724828449,0.35557271226759174
54,4,parece,that,1,0.4728703724828449,0.26381563034852107
55,4,que,that,1,0.4728703724828449,0.2933748141413021
56,4,existe,there,1,0.4728703724828449,0.255994584155231
57,4,existe,is,1,0.4728703724828449,0.31922068906226586
58,4,un,a,1,0.4728703724828449,0.3757824471337759
59,4,problema,problem,1,0.4728703724828449,0.4979006294169255
60,5,tiene,do,1,0.49416113712015985,0.33492671159394133
61,5,tiene,you,1,0.49416113712015985,0.2584009433669738
62,5,tiene,have,1,0.49416113712015985,0.16341638131047198
63,5,habitaciones,any,1,0.49416113712015985,0.1718325897935523
64,5,habitaciones,rooms,1,0.49416113712015985,0.12065313392794721
65,5,libres,any,1,0.49416113712015985,0.2363047491110475
66,5,con,with,1,0.49416113712015985,0.20675257177974105
67,5,televisión,a,1,0.49416113712015985,0.2261571976243377
68,5,televisión,tv,1,0.49416113712015985,0.1677934226816264
69,5,aire,air,1,0.49416113712015985,0.19338755875668553
70,5,acondicionado,conditioning,1,0.49416113712015985,0.2218356436197442
71,5,y,and,1,0.49416113712015985,0.231056327892946
72,5,caja,a,1,0.49416113712015985,0.220409244925424
73,5,fuerte,safe,1,0.49416113712015985,0.21377192363229375
74,5,fuerte,available,1,0.49416113712015985,0.33492671159394133
75,6,le,would,1,0.6198125737526812,0.43860144011982166
76,6,importaría,you,1,0.6198125737526812,0.28645832637957525
77,6,importaría,mind,1,0.6198125737526812,0.33446065956953386
78,6,mostrarnos,showing,1,0.6198125737526812,0.2989512929983728
79,6,mostrarnos,us,1,0.6198125737526812,0.24438353031073803
80,6,una,a,1,0.6198125737526812,0.2884001650837937
81,6,habitación,room,1,0.6198125737526812,0.30837924552960216
82,6,con,with,1,0.6198125737526812,0.27713102975796167
83,6,con,a,1,0.6198125737526812,0.32272463655999745
84,6,televisión,tv,1,0.6198125737526812,0.4386014401198217
85,7,tiene,does,1,0.3807518256555319,0.8306954786827133
86,7,tiene,it,1,0.3807518256555319,0.8306954786827131
87,7,tiene,have,1,0.3807518256555319,0.728807171697085
88,7,teléfono,a,1,0.3807518256555319,0.5609220018433688
89,7,teléfono,telephone,1,0.3807518256555319,0.8306954786827132
90,8,voy,i,1,0.4961865970258341,0.3593797994229941
91,8,voy,am,1,0.4961865970258341,0.21961832755335015
92,8,a,am,1,0.4961865970258341,0.29078900866318974
93,8,marcharme,leaving,1,0.4961865970258341,0.2609656826114815
94,8,el,on,1,0.4961865970258341,0.24637579498201911
95,8,el,the,1,0.4961865970258341,0.1505611615634846
96,8,dos,second,1,0.4961865970258341,0.14634286034645339
97,8,a,at,1,0.4961865970258341,0.14509110922664317
98,8,las,at,1,0.4961865970258341,0.23947303662769104
99,8,ocho,eight,1,0.4961865970258341,0.24637579498201911
100,8,de,in,1,0.4961865970258341,0.26096568261148145
101,8,la,the,1,0.4961865970258341,0.29078900866318974
102,8,noche,evening,1,0.4961865970258341,0.3593797994229941
103,9,cuánto,how,1,0.662379767782665,0.4386014401198217
104,9,cuánto,much,1,0.662379767782665,0.2850054807691956
105,9,cuesta,does,1,0.662379767782665,0.2898684828096589
106,9,una,a,1,0.662379767782665,0.3066568933177121
107,9,habitación,room,1,0.662379767782665,0.2194387934057645
108,9,individual,single,1,0.662379767782665,0.1590870120182519
109,9,individual,cost,1,0.662379767782665,0.2659991726152085
110,9,por,per,1,0.662379767782665,0.3312220650553636
111,9,semana,week,1,0.662379767782665,0.4386014401198217
112,10,acepta,do,1,0.6446952905096348,0.6855758030036264
113,10,dinero,you,1,0.6446952905096348,0.5812273013253751
114,10,dinero,accept,1,0.6446952905096348,0.17107460126702423
115,10,en,accept,1,0.6446952905096348,0.5812273013253751
116,10,efectivo,cash,1,0.6446952905096348,0.6855758030036264
117,11,mi,my,1,0.7822362269644719,0.6113696334557909
118,11,nombre,name,1,0.7822362269644719,0.5026995073947956
119,11,es,is,1,0.7822362269644719,0.48271466313215816
120,11,victoria,victoria,1,0.7822362269644719,0.5026995073947957
121,11,piquer,piquer,1,0.7822362269644719,0.6113696334557909
122,12,les,would,1,0.407205807061304,0.33492671159394133
123,12,importaría,you,1,0.407205807061304,0.24897928946041908
124,12,importaría,mind,1,0.407205807061304,0.23499186169536798
125,12,subirme,sending,1,0.407205807061304,0.23764217840760032
126,12,los,luggage,1,0.407205807061304,0.12483280950680227
127,12,bultos,my,1,0.407205807061304,0.19683947369489754
128,12,bultos,luggage,1,0.407205807061304,0.1950035083289725
129,12,a,up,1,0.407205807061304,0.09058762656341633
130,12,a,to,1,0.407205807061304,0.21466636539193062
131,12,la,number,1,0.407205807061304,0.1807408140073421
132,12,habitación,room,1,0.407205807061304,0.14411883049434282
133,12,tres,three,1,0.407205807061304,0.20743903280915096
134,12,diez,oh,1,0.407205807061304,0.33492671159394133
